instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,trip_duration_cluster
1,2011-01-01,1,0,1,0,0,6,0,1,0.24,0.2879,0.81,0.194,3,13,16,Short Trip User
2,2011-01-01,1,0,1,1,0,6,0,1,0.22,0.2727,0.8,0.194,8,32,40,Medium Trip User
3,2011-01-01,1,0,1,2,0,6,0,1,0.22,0.2727,0.8,0.194,5,27,32,Medium Trip User
4,2011-01-01,1,0,1,3,0,6,0,1,0.24,0.2879,0.75,0.194,3,10,13,Short Trip User
5,2011-01-01,1,0,1,4,0,6,0,1,0.24,0.2879,0.75,0.194,0,1,1,Short Trip User
6,2011-01-01,1,0,1,5,0,6,0,2,0.24,0.2576,0.75,0.0896,0,1,1,Short Trip User
7,2011-01-01,1,0,1,6,0,6,0,1,0.22,0.2727,0.8,0.194,2,0,2,Short Trip User
8,2011-01-01,1,0,1,7,0,6,0,1,0.2,0.2576,0.86,0.194,1,2,3,Short Trip User
9,2011-01-01,1,0,1,8,0,6,0,1,0.24,0.2879,0.75,0.194,1,7,8,Short Trip User
10,2011-01-01,1,0,1,9,0,6,0,1,0.32,0.3485,0.76,0.194,8,6,14,Short Trip User
11,2011-01-01,1,0,1,10,0,6,0,1,0.38,0.3939,0.76,0.2537,12,24,36,Medium Trip User
12,2011-01-01,1,0,1,11,0,6,0,1,0.36,0.3333,0.81,0.2836,26,30,56,Medium Trip User
13,2011-01-01,1,0,1,12,0,6,0,1,0.42,0.4242,0.77,0.2836,29,55,84,Long Trip User
14,2011-01-01,1,0,1,13,0,6,0,2,0.46,0.4545,0.72,0.2985,47,47,94,Long Trip User
15,2011-01-01,1,0,1,14,0,6,0,2,0.46,0.4545,0.72,0.2836,35,71,106,Long Trip User
16,2011-01-01,1,0,1,15,0,6,0,2,0.44,0.4394,0.77,0.2985,40,70,110,Long Trip User
17,2011-01-01,1,0,1,16,0,6,0,2,0.42,0.4242,0.82,0.2985,41,52,93,Long Trip User
18,2011-01-01,1,0,1,17,0,6,0,2,0.44,0.4394,0.82,0.2836,15,52,67,Long Trip User
19,2011-01-01,1,0,1,18,0,6,0,3,0.42,0.4242,0.88,0.2537,9,26,35,Medium Trip User
20,2011-01-01,1,0,1,19,0,6,0,3,0.42,0.4242,0.88,0.2537,6,31,37,Medium Trip User
21,2011-01-01,1,0,1,20,0,6,0,2,0.4,0.4091,0.87,0.2537,11,25,36,Medium Trip User
22,2011-01-01,1,0,1,21,0,6,0,2,0.4,0.4091,0.87,0.194,3,31,34,Medium Trip User
23,2011-01-01,1,0,1,22,0,6,0,2,0.4,0.4091,0.94,0.2239,11,17,28,Short Trip User
